uri,type,jurisdiction,title,date_valid,publication_status,date_copyright,author,publisher,rights,description,subject,education_level,score_range,authority_status,statement_notation,statement_label,list_id,local_subject,comment,is_part_of,is_version_of,exact_match,concept_term,alt_statement_notation,is_child_of,has_child,indexing_status,creator,created
http://act-standards-server.herokuapp.com/resources/DCCRS2013science,Standard Document,"ACT, Inc.",ACT College and Career Readiness Standards-Science,2014,Draft,,"ACT, Inc.","ACT, Inc.",,College and Career Readiness Standards for Science,Science,,,,,,,,,,,,,,,"http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceSIN,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceEMI",,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,Statement,,,,,,,,,Interpretation of Data (IOD),Science,,,Original,,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,"http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD201,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD202,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD203,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD301,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD302,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD303,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD304,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD401,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD402,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD403,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD404,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD501,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD502,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD503,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD504,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD505,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD601,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD602,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD603,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD701,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD702",Non-indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD201,Statement,,,,,,,,,"Select one piece of data from a simple data presentation (e.g., a simple food web diagram)",Science,,13-15,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD202,Statement,,,,,,,,,"Identify basic features of a table, graph, or diagram (e.g., units of measurement)",Science,,13-15,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD203,Statement,,,,,,,,,Find basic information in text that describes a simple data presentation,Science,,13-15,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD301,Statement,,,,,,,,,Select two or more pieces of data from a simple data presentation,Science,,16-19,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD302,Statement,,,,,,,,,Understand basic scientific terminology,Science,,16-19,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD303,Statement,,,,,,,,,Find basic information in text that describes a complex data presentation,Science,,16-19,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD304,Statement,,,,,,,,,Determine how the values of variables change as the value of another variable changes in a simple data presentation,Science,,16-19,Original,,,4,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD401,Statement,,,,,,,,,"Select data from a complex data presentation (e.g., a phase diagram)",Science,,20-23,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013science,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013scienceIOD,,Indexable Statement,,
